what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449175755204
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449175755227
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449175759250
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449175759273
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449175760981
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449175761004
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449175769697
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449175769721
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449175773645
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449175773670
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449175783041
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449175783061
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449175784447
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449175784471
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449175791317
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449175791339
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449175793322
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449175793349
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449175807792
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449175807824
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449175809245
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449175809265
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449175813491
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449175813518
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449175815084
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449175815109
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449175821269
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449175821288
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449175823593
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449175823613
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449175825843
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449175825862
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449175827351
error,log,,,"Unhandled event loop exception",1449175885063
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449176291986
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449176293433
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1449176293483
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449176293640
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.0.20110607-2117,"org.eclipse.m2e.logback.configuration",1449176293961
stopped,bundle,org.eclipse.m2e.discovery,1.0.0.20110607-2117,"org.eclipse.m2e.discovery",1449176293962
stopped,bundle,org.eclipse.m2e.refactoring,1.0.0.20110607-2117,"org.eclipse.m2e.refactoring",1449176293963
stopped,bundle,org.eclipse.m2e.editor,1.0.0.20110607-2117,"org.eclipse.m2e.editor",1449176294008
activated,perspective,es.ucm.gaia.colibristudio.PerspectiveColibriStudio,,"jcolibriperspective.perspectives.CBRPerspective",1449489565483
started,bundle,org.eclipse.osgi,3.7.0.v20110613,"org.eclipse.osgi",1449489565484
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1449489565484
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1449489565485
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1449489565485
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1449489565486
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1449489565486
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1449489565486
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1449489565486
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1449489565486
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1449489565486
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1449489565486
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1449489565486
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1449489565486
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1449489565486
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1449489565486
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1449489565486
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1449489565486
started,bundle,org.eclipse.epp.mpc.ui,1.1.0.I20110525-0742,"org.eclipse.epp.mpc.ui",1449489565486
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1449489565486
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1449489565486
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1449489565486
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1449489565486
started,bundle,org.eclipse.equinox.ds,1.3.0.v20110502,"org.eclipse.equinox.ds",1449489565486
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1449489565486
started,bundle,org.eclipse.equinox.p2.core,2.1.0.v20110502-1955,"org.eclipse.equinox.p2.core",1449489565486
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.directorywatcher",1449489565486
started,bundle,org.eclipse.equinox.p2.engine,2.1.0.v20110511,"org.eclipse.equinox.p2.engine",1449489565486
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110510,"org.eclipse.equinox.p2.metadata",1449489565486
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1449489565501
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1449489565501
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110510,"org.eclipse.equinox.p2.reconciler.dropins",1449489565501
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1449489565501
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",1449489565501
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",1449489565501
